,n_row,시도,시군구,생년,RFID구분,축종,품종,마릿수
0,1,충청남도,천안시,2015,내장형,개,시츄,62
1,2,충청남도,천안시,2015,내장형,개,실키테리어,1
2,3,충청남도,천안시,2015,외장형,개,아메리칸 코카 스파니엘,2
3,4,충청남도,천안시,2015,인식표,개,아메리칸 코카 스파니엘,1
4,5,충청남도,천안시,2015,내장형,개,아메리칸 코카 스파니엘,3
5,6,충청남도,천안시,2015,내장형,개,아메리칸 핏불 테리어,2
6,7,충청남도,천안시,2015,내장형,개,아메리칸불리,3
7,8,충청남도,천안시,2015,외장형,개,아키다,1
8,9,충청남도,천안시,2015,내장형,개,아키다,1
9,10,충청남도,천안시,2015,내장형,개,알라스칸 말라뮤트,1
10,11,충청남도,천안시,2015,외장형,개,올드 잉글리쉬 불독,2
11,12,충청남도,천안시,2015,인식표,개,올드 잉글리쉬 불독,2
12,13,충청남도,천안시,2015,내장형,개,올드 잉글리쉬 불독,2
13,14,충청남도,천안시,2015,내장형,개,올드 잉글리쉬 쉽독,2
14,15,충청남도,천안시,2015,내장형,개,와이마라너,1
15,16,충청남도,천안시,2015,외장형,개,요크셔 테리어,21
16,17,충청남도,천안시,2015,인식표,개,요크셔 테리어,13
17,18,충청남도,천안시,2015,내장형,개,요크셔 테리어,40
18,19,충청남도,천안시,2015,내장형,개,웨스트하이랜드화이트테리어,1
19,20,충청남도,천안시,2015,외장형,개,웰시 코기 카디건,1
20,21,충청남도,천안시,2015,내장형,개,웰시 코기 카디건,5
21,22,충청남도,천안시,2015,외장형,개,웰시 코기 펨브로크,8
22,23,충청남도,천안시,2015,인식표,개,웰시 코기 펨브로크,4
23,24,충청남도,천안시,2015,내장형,개,웰시 코기 펨브로크,20
24,25,충청남도,천안시,2015,인식표,개,이탈리안 그레이 하운드,2
25,26,충청남도,천안시,2015,내장형,개,이탈리안 그레이 하운드,1
26,27,충청남도,천안시,2015,인식표,개,잉글리쉬 스프링거 스파니엘,1
27,28,충청남도,천안시,2015,외장형,개,재패니즈 스피츠,4
28,29,충청남도,천안시,2015,인식표,개,재패니즈 스피츠,1
29,30,충청남도,천안시,2015,내장형,개,재패니즈 스피츠,1
30,31,충청남도,천안시,2015,내장형,개,저먼 셰퍼드 독,1
31,32,충청남도,천안시,2015,내장형,개,제주개,1
32,33,충청남도,천안시,2015,외장형,개,제페니즈칭,1
33,34,충청남도,천안시,2015,외장형,개,진도견,18
34,35,충청남도,천안시,2015,인식표,개,진도견,8
35,36,충청남도,천안시,2015,내장형,개,진도견,19
36,37,충청남도,천안시,2015,외장형,개,차우차우,1
37,38,충청남도,천안시,2015,내장형,개,차우차우,2
38,39,충청남도,천안시,2015,외장형,개,치와와,64
39,40,충청남도,천안시,2015,인식표,개,치와와,24
40,41,충청남도,천안시,2015,내장형,개,치와와,71
41,42,충청남도,천안시,2015,외장형,개,카네 코르소,1
42,43,충청남도,천안시,2015,내장형,개,카네 코르소,4
43,44,충청남도,천안시,2015,외장형,개,케언 테리어,1
44,45,충청남도,천안시,2015,외장형,개,코카 스파니엘,7
45,46,충청남도,천안시,2015,인식표,개,코카 스파니엘,2
46,47,충청남도,천안시,2015,내장형,개,코카 스파니엘,15
47,48,충청남도,천안시,2015,외장형,개,토이 푸들,18
48,49,충청남도,천안시,2015,인식표,개,토이 푸들,19
49,50,충청남도,천안시,2015,내장형,개,토이 푸들,19
50,51,충청남도,천안시,2019,내장형,개,올드 잉글리쉬 쉽독,4
51,52,충청남도,천안시,2019,외장형,개,요크셔 테리어,9
52,53,충청남도,천안시,2019,인식표,개,요크셔 테리어,9
53,54,충청남도,천안시,2019,내장형,개,요크셔 테리어,22
54,55,충청남도,천안시,2019,외장형,개,웨스트하이랜드화이트테리어,2
55,56,충청남도,천안시,2019,외장형,개,웰시 코기 카디건,8
56,57,충청남도,천안시,2019,인식표,개,웰시 코기 카디건,3
57,58,충청남도,천안시,2019,내장형,개,웰시 코기 카디건,9
58,59,충청남도,천안시,2019,외장형,개,웰시 코기 펨브로크,8
59,60,충청남도,천안시,2019,인식표,개,웰시 코기 펨브로크,8
60,61,충청남도,천안시,2019,내장형,개,웰시 코기 펨브로크,30
61,62,충청남도,천안시,2019,외장형,개,이탈리안 그레이 하운드,4
62,63,충청남도,천안시,2019,인식표,개,이탈리안 그레이 하운드,7
63,64,충청남도,천안시,2019,내장형,개,이탈리안 그레이 하운드,13
64,65,충청남도,천안시,2019,내장형,개,잉글리쉬 코카 스파니엘,1
65,66,충청남도,천안시,2019,외장형,개,잉글리쉬 포인터,1
66,67,충청남도,천안시,2019,내장형,개,잉글리쉬 포인터,2
67,68,충청남도,천안시,2019,외장형,개,재패니즈 스피츠,1
68,69,충청남도,천안시,2019,내장형,개,재패니즈 스피츠,1
69,70,충청남도,천안시,2019,외장형,개,저먼 셰퍼드 독,2
70,71,충청남도,천안시,2019,내장형,개,저먼 셰퍼드 독,3
71,72,충청남도,천안시,2019,내장형,개,제페니즈칭,1
72,73,충청남도,천안시,2019,외장형,개,진도견,25
73,74,충청남도,천안시,2019,인식표,개,진도견,34
74,75,충청남도,천안시,2019,내장형,개,진도견,58
75,76,충청남도,천안시,2019,외장형,개,차우차우,1
76,77,충청남도,천안시,2019,인식표,개,차우차우,1
77,78,충청남도,천안시,2019,내장형,개,차우차우,4
78,79,충청남도,천안시,2019,외장형,개,치와와,51
79,80,충청남도,천안시,2019,인식표,개,치와와,31
80,81,충청남도,천안시,2019,내장형,개,치와와,71
81,82,충청남도,천안시,2019,인식표,개,캐벌리어 킹 찰스 스파니엘,1
82,83,충청남도,천안시,2019,내장형,개,캐벌리어 킹 찰스 스파니엘,5
83,84,충청남도,천안시,2019,외장형,개,코카 스파니엘,3
84,85,충청남도,천안시,2019,인식표,개,코카 스파니엘,1
85,86,충청남도,천안시,2019,내장형,개,코카 스파니엘,8
86,87,충청남도,천안시,2019,외장형,개,코카시안오브차카,1
87,88,충청남도,천안시,2019,외장형,개,토이 푸들,26
88,89,충청남도,천안시,2019,인식표,개,토이 푸들,25
89,90,충청남도,천안시,2019,내장형,개,토이 푸들,36
90,91,충청남도,천안시,2019,외장형,개,파슨 러셀 테리어,1
91,92,충청남도,천안시,2019,내장형,개,팔렌,1
92,93,충청남도,천안시,2019,외장형,개,퍼그,1
93,94,충청남도,천안시,2019,인식표,개,퍼그,1
94,95,충청남도,천안시,2019,내장형,개,퍼그,7
95,96,충청남도,천안시,2019,외장형,개,페키니즈,3
96,97,충청남도,천안시,2019,인식표,개,페키니즈,1
97,98,충청남도,천안시,2019,내장형,개,페키니즈,9
98,99,충청남도,천안시,2019,외장형,개,페터데일테리어,1
99,100,충청남도,천안시,2019,외장형,개,포메라니안,113
100,101,충청남도,천안시,2023,외장형,개,미디엄 푸들,4
101,102,충청남도,천안시,2023,외장형,개,믹스견,467
102,103,충청남도,천안시,2023,내장형,개,믹스견,164
103,104,충청남도,천안시,2023,내장형,개,버니즈 마운틴 독,2
104,105,충청남도,천안시,2023,외장형,개,베들링턴 테리어,3
105,106,충청남도,천안시,2023,외장형,개,보더 콜리,13
106,107,충청남도,천안시,2023,내장형,개,보더 콜리,12
107,108,충청남도,천안시,2023,외장형,개,비글,3
108,109,충청남도,천안시,2023,외장형,개,비숑 프리제,339
109,110,충청남도,천안시,2023,내장형,개,비숑 프리제,54
110,111,충청남도,천안시,2023,외장형,개,빠삐용,1
111,112,충청남도,천안시,2023,외장형,개,사모예드,3
112,113,충청남도,천안시,2023,내장형,개,사모예드,2
113,114,충청남도,천안시,2023,외장형,개,샤페이,1
114,115,충청남도,천안시,2023,외장형,개,셔틀랜드 쉽독,1
115,116,충청남도,천안시,2023,내장형,개,셔틀랜드 쉽독,2
116,117,충청남도,천안시,2023,외장형,개,셰퍼드,1
117,118,충청남도,천안시,2023,내장형,개,셰퍼드,2
118,119,충청남도,천안시,2023,외장형,개,슈나우져,2
119,120,충청남도,천안시,2023,외장형,개,스코티쉬 테리어,1
120,121,충청남도,천안시,2023,외장형,개,스탠다드 푸들,3
121,122,충청남도,천안시,2023,내장형,개,스탠다드 푸들,1
122,123,충청남도,천안시,2023,외장형,개,스피츠,2
123,124,충청남도,천안시,2023,외장형,개,시바,41
124,125,충청남도,천안시,2023,내장형,개,시바,5
125,126,충청남도,천안시,2023,외장형,개,시베리안 허스키,3
126,127,충청남도,천안시,2023,내장형,개,시베리안 허스키,1
127,128,충청남도,천안시,2023,외장형,개,시츄,18
128,129,충청남도,천안시,2013,외장형,개,풍산견,9
129,130,충청남도,천안시,2013,내장형,개,풍산견,4
130,131,충청남도,천안시,2013,외장형,개,프렌치 불독,7
131,132,충청남도,천안시,2013,인식표,개,프렌치 불독,1
132,133,충청남도,천안시,2013,내장형,개,프렌치 불독,6
133,134,충청남도,천안시,2013,외장형,개,핏불테리어,1
134,135,충청남도,천안시,2013,외장형,개,화이트테리어,1
135,136,충청남도,천안시,2013,인식표,개,화이트테리어,1
136,137,충청남도,천안시,2013,내장형,개,화이트테리어,1
137,138,충청남도,천안시,2014,외장형,개,골든 리트리버,10
138,139,충청남도,천안시,2014,인식표,개,골든 리트리버,2
139,140,충청남도,천안시,2014,내장형,개,골든 리트리버,7
140,141,충청남도,천안시,2014,외장형,개,그레이트 피레니즈,1
141,142,충청남도,천안시,2014,내장형,개,그레이트 피레니즈,1
142,143,충청남도,천안시,2014,외장형,개,기타,12
143,144,충청남도,천안시,2014,인식표,개,기타,1
144,145,충청남도,천안시,2014,내장형,개,기타,7
145,146,충청남도,천안시,2014,내장형,개,꼬똥 드 뚤레아,1
146,147,충청남도,천안시,2014,외장형,개,닥스훈트,12
147,148,충청남도,천안시,2014,인식표,개,닥스훈트,7
148,149,충청남도,천안시,2014,내장형,개,닥스훈트,28
149,150,충청남도,천안시,2014,내장형,개,도고 까니리오,1
150,151,충청남도,천안시,2014,내장형,개,도고 아르젠티노,1
151,152,충청남도,천안시,2014,외장형,개,도베르만,2
152,153,충청남도,천안시,2014,인식표,개,도사,1
153,154,충청남도,천안시,2014,내장형,개,도사,2
154,155,충청남도,천안시,2014,외장형,개,라브라도 리트리버,7
155,156,충청남도,천안시,2014,인식표,개,라브라도 리트리버,5
156,157,충청남도,천안시,2014,내장형,개,라브라도 리트리버,18
157,158,충청남도,천안시,2014,인식표,개,라사 압소,1
158,159,충청남도,천안시,2014,외장형,개,로트와일러,3
159,160,충청남도,천안시,2014,내장형,개,로트와일러,1
160,161,충청남도,천안시,2014,인식표,개,말라뮤트,3
161,162,충청남도,천안시,2014,내장형,개,말라뮤트,2
162,163,충청남도,천안시,2014,외장형,개,말티즈,230
163,164,충청남도,천안시,2014,인식표,개,말티즈,107
164,165,충청남도,천안시,2014,내장형,개,말티즈,266
165,166,충청남도,천안시,2014,외장형,개,미니어쳐 닥스훈트,1
166,167,충청남도,천안시,2014,외장형,개,미니어쳐 슈나우저,4
167,168,충청남도,천안시,2014,내장형,개,미니어쳐 슈나우저,2
168,169,충청남도,천안시,2014,외장형,개,미니어쳐 푸들,9
169,170,충청남도,천안시,2014,인식표,개,미니어쳐 푸들,1
170,171,충청남도,천안시,2014,외장형,개,미니어쳐 핀셔,9
171,172,충청남도,천안시,2014,인식표,개,미니어쳐 핀셔,4
172,173,충청남도,천안시,2014,내장형,개,미니어쳐 핀셔,12
173,174,충청남도,천안시,2018,외장형,개,아메리칸불리,1
174,175,충청남도,천안시,2018,인식표,개,아메리칸불리,1
175,176,충청남도,천안시,2018,내장형,개,아메리칸불리,1
176,177,충청남도,천안시,2018,내장형,개,아프간 하운드,1
177,178,충청남도,천안시,2018,외장형,개,알라스칸 말라뮤트,1
178,179,충청남도,천안시,2011,내장형,개,잉글리쉬 코카 스파니엘,1
179,180,충청남도,천안시,2011,외장형,개,재패니즈 스피츠,1
180,181,충청남도,천안시,2011,내장형,개,재패니즈 스피츠,2
181,182,충청남도,천안시,2011,외장형,개,제페니즈칭,1
182,183,충청남도,천안시,2011,내장형,개,제페니즈칭,2
183,184,충청남도,천안시,2011,외장형,개,진도견,37
184,185,충청남도,천안시,2011,인식표,개,진도견,5
185,186,충청남도,천안시,2011,내장형,개,진도견,13
186,187,충청남도,천안시,2011,외장형,개,차우차우,1
187,188,충청남도,천안시,2011,외장형,개,차이니즈 크레스티드 독,1
188,189,충청남도,천안시,2011,외장형,개,치와와,34
189,190,충청남도,천안시,2011,인식표,개,치와와,6
190,191,충청남도,천안시,2011,내장형,개,치와와,22
191,192,충청남도,천안시,2011,외장형,개,코카 스파니엘,14
192,193,충청남도,천안시,2011,내장형,개,코카 스파니엘,7
193,194,충청남도,천안시,2011,외장형,개,토이 푸들,7
194,195,충청남도,천안시,2011,인식표,개,토이 푸들,5
195,196,충청남도,천안시,2011,내장형,개,토이 푸들,4
196,197,충청남도,천안시,2011,인식표,개,퍼그,1
197,198,충청남도,천안시,2011,내장형,개,퍼그,3
198,199,충청남도,천안시,2011,외장형,개,페키니즈,8
199,200,충청남도,천안시,2011,인식표,개,페키니즈,1
200,201,충청남도,천안시,2011,내장형,개,페키니즈,2
201,202,충청남도,천안시,2011,내장형,개,페터데일테리어,1
202,203,충청남도,천안시,2011,외장형,개,포메라니안,71
203,204,충청남도,천안시,2011,인식표,개,포메라니안,16
204,205,충청남도,천안시,2011,내장형,개,포메라니안,50
205,206,충청남도,천안시,2011,내장형,개,포인터,1
206,207,충청남도,천안시,2011,외장형,개,푸들,105
207,208,충청남도,천안시,2011,인식표,개,푸들,30
208,209,충청남도,천안시,2011,내장형,개,푸들,76
209,210,충청남도,천안시,2011,외장형,개,풍산견,3
210,211,충청남도,천안시,2011,내장형,개,풍산견,2
211,212,충청남도,천안시,2011,외장형,개,프렌치 불독,6
212,213,충청남도,천안시,2011,인식표,개,프렌치 불독,3
213,214,충청남도,천안시,2011,내장형,개,프렌치 불독,1
214,215,충청남도,천안시,2012,외장형,개,골든 리트리버,13
215,216,충청남도,천안시,2012,인식표,개,골든 리트리버,1
216,217,충청남도,천안시,2012,내장형,개,골든 리트리버,10
217,218,충청남도,천안시,2012,외장형,개,기타,5
218,219,충청남도,천안시,2012,인식표,개,기타,1
219,220,충청남도,천안시,2012,내장형,개,기타,3
220,221,충청남도,천안시,2012,외장형,개,닥스훈트,22
221,222,충청남도,천안시,2012,인식표,개,닥스훈트,6
222,223,충청남도,천안시,2012,내장형,개,닥스훈트,21
223,224,충청남도,천안시,2012,내장형,개,도고 까니리오,1
224,225,충청남도,천안시,2012,외장형,개,라브라도 리트리버,1
225,226,충청남도,천안시,2012,인식표,개,라브라도 리트리버,1
226,227,충청남도,천안시,2015,외장형,개,티베탄 마스티프,1
227,228,충청남도,천안시,2015,외장형,개,퍼그,3
228,229,충청남도,천안시,2015,인식표,개,퍼그,3
229,230,충청남도,천안시,2015,내장형,개,퍼그,4
230,231,충청남도,천안시,2015,외장형,개,페키니즈,3
231,232,충청남도,천안시,2015,인식표,개,페키니즈,4
232,233,충청남도,천안시,2015,내장형,개,페키니즈,5
233,234,충청남도,천안시,2015,외장형,개,페터데일테리어,1
